"date","month","title","cleaned_text","publisher","topic"
2023-11-01,"Nov 2023","A Free-Speech Fix for Our Divided Campuses; Clashes over the Israel-Hamas war show that, for the sake of American democracy, college students need to be taught how to disagree without fear or hatred.","free-speech fix divide campus clash israel-hamas war show sake american democracy college student need teach disagree without fear hatred","Wall_Street_News","Israel Conflict"
2024-02-01,"Feb 2024","A Left-vs.-Left House Battle, Funded by a Split Over Israel","left-vs leave house battle fund split israel","The New York Times","Israel Conflict"
2024-03-01,"Mar 2024","A Loyal Israel Ally, Germany Shifts Tone as the Toll in Gaza Mounts","loyal israel ally germany shift tone toll gaza mount","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","A New Strategy Can Save Ukraine; Kyiv should focus on defense, depend less on foreign aid, and threaten Russia more in Crimea.","new strategy can save ukraine kyiv focus defense depend little foreign aid threaten russia crimea","Wall_Street_News","Ukraine Conflict"
2024-03-01,"Mar 2024","A New Terror Threat Is Emerging in Europe Linked to Iran, Gaza War; Security services are on edge as the Israel-Hamas conflict galvanizes new actors","new terror threat emerge europe link iran gaza war security service edge israel-hamas conflict galvanize new actor","Wall_Street_News","Israel Conflict"
2024-05-01,"May 2024","A Plan for Palestinian Prosperity; Eventually, Israel should build weapons factories in Gaza and the West Bank.","plan palestinian prosperity eventually israel build weapon factory gaza west bank","Wall_Street_News","Israel Conflict"
2024-03-01,"Mar 2024","A Popular Israeli Minister’s Meeting in London Sends a Message to Netanyahu","popular israeli minister’s meet london send message netanyahu","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","A Russian Victory in Ukraine Would Imperil Us All; The West must sustain support for Kyiv, keep NATO solid, and spurn Putin's effort to divide us.","russian victory ukraine imperil us west must sustain support kyiv keep nato solid spurn putin's effort divide us","Wall_Street_News","Ukraine Conflict"
2024-02-01,"Feb 2024","A Secret Oil-Trading Network Funds Russia's War in Ukraine","secret oil-trading network fund russia's war ukraine","Wall_Street_News","Ukraine Conflict"
2023-12-01,"Dec 2023","A World in Disarray? A Longtime Diplomat Says It's Worse Than That; Richard Haass offers his perspective on the wars in Ukraine and Israel, and China's outlook","world disarray longtime diplomat say bad richard haass offer perspective war ukraine israel china's outlook","Wall_Street_News","Ukraine Conflict"
2023-12-01,"Dec 2023","Abramovich Pledged $3 Billion for Ukraine War Victims. The Money Is Frozen in the U.K. Funds from the sale of Chelsea FC are sitting in a U.K. bank account amid a dispute between the oligarch and Britain","abramovich pledge billion ukraine war victim money freeze u.k fund sale chelsea fc sit u.k bank account amid dispute oligarch britain","Wall_Street_News","Ukraine Conflict"
2024-01-01,"Jan 2024","Ackman, Oxman Purchase a Stake In Israel's Tel Aviv Stock Exchange","ackman oxman purchase stake israel's tel aviv stock exchange","Wall_Street_News","Israel Conflict"
2024-05-01,"May 2024","Actions by Israel and Egypt Squeeze Gaza Aid Routes","action israel egypt squeeze gaza aid route","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","After $15 Billion in Military Aid, Israel Calls Alliance With U.S. ‘Ironclad’","15 billion military aid israel call alliance u.s ironclad","The New York Times","Israel Conflict"
2024-01-01,"Jan 2024","After 100 Days, Israel-Hamas War Threatens to Spill Beyond Gaza, Disrupt Global Trade; The war has swung from a brutal Hamas attack to Israel's ferocious retaliation<U+2014>with no end in sight","100 day israel-hamas war threaten spill beyond gaza disrupt global trade war swing brutal hamas attack israel's ferocious retaliation 2014 end sight","Wall_Street_News","Israel Conflict"
2024-05-01,"May 2024","After Anti-Israel Speeches, a Law School Curtails Graduation Traditions","anti-israel speech law school curtail graduation tradition","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","After Fighting Ukraine Aid, Trump Says Biden Will ‘Give’ Ukraine to Putin","fight ukraine aid trump say biden will give ukraine putin","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","After Israel Aid Vote, Pocan Seeks to Show Biden Liberal Dismay on Gaza","israel aid vote pocan seek show biden liberal dismay gaza","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","After Navalny's Death, the Russian Opposition Is Divided in Exile; The war in Ukraine scattered Russia's opposition. From exile, it is biding its time as it seeks ways to weaken President Vladimir Putin.","navalny's death russian opposition divide exile war ukraine scatter russia's opposition exile bide time seek way weaken president vladimir putin","Wall_Street_News","Ukraine Conflict"
2024-04-01,"Apr 2024","After Ukraine Aid Vote, Republicans Braced for Backlash Find Little","ukraine aid vote republican brace backlash find little","The New York Times","Ukraine Conflict"
2024-05-01,"May 2024","Aid Groups in Rafah Say Israel’s Advance Is Pushing Them Out","aid group rafah say israel’s advance push","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","Aid Package Nears Passage --- Democrats help GOP speaker clear key hurdle in funding for Ukraine, Israel","aid package near passage democrat help gop speaker clear key hurdle fund ukraine israel","Wall_Street_News","Ukraine Conflict"
2024-04-01,"Apr 2024","Aid to Ukraine Is on the Way. Here’s How It Might Help.","aid ukraine way here’s may help","The New York Times","Ukraine Conflict"
2023-12-01,"Dec 2023","Alarm Grows Over Europe's Empty Arsenals --- War in Ukraine reveals risks as budget cuts have hollowed out military powers","alarm grow europe's empty arsenal war ukraine reveal risk budget cut hollow military power","Wall_Street_News","Ukraine Conflict"
2023-12-01,"Dec 2023","Alarm Grows Over Weakened Militaries and Empty Arsenals in Europe; Budget cuts and an eroded weapons industry have hollowed out armed services; Russia's invasion of Ukraine reveals risks","alarm grow weaken military empty arsenal europe budget cut erode weapon industry hollow arm service russia's invasion ukraine reveal risk","Wall_Street_News","Ukraine Conflict"
2024-03-01,"Mar 2024","America Pulls Back from Ukraine","america pull back ukraine","The New York Times","Ukraine Conflict"
2024-01-01,"Jan 2024","Amid War in Middle East, Ukraine Fights to Keep U.S. and Allies' Focus; Peace meeting on eve of World Economic Forum offers Kyiv a big stage, but hopes for progress are slim","amid war middle east ukraine fight keep u.s ally focus peace meet eve world economic forum offer kyiv big stage hope progress slim","Wall_Street_News","Ukraine Conflict"
2024-04-01,"Apr 2024","Analysis: Israel Repelled Iran's Huge Attack. But Only With Help From U.S. and Arab Partners. Working with partners, it fended off worst of Iranian strikes; what comes next will test powers in the Middle East and beyond","analysis israel repel iran's huge attack help u.s arab partner work partner fend bad iranian strike come next will test power middle east beyond","Wall_Street_News","Israel Conflict"
2024-01-01,"Jan 2024","Ann Arbor School Board Set to Vote on Israel-Gaza Ceasefire Resolution","ann arbor school board set vote israel-gaza ceasefire resolution","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","Another Front for Israel's Military: Violence Between Settlers and Palestinians; An intense bout of settler attacks is drawing troops and attention as Iran looms and Gaza simmers","another front israel's military violence settler palestinian intense bout settler attack draw troop attention iran loom gaza simmer","Wall_Street_News","Israel Conflict"
2024-04-01,"Apr 2024","Antony Blinken's Ahistorical Advice for Israel; Raids and airstrikes can be tactically effective, but they don't amount to a strategy for winning a war.","antony blinken's ahistorical advice israel raid airstrike can tactically effective amount strategy win war","Wall_Street_News","Israel Conflict"
2023-11-01,"Nov 2023","Antony Blinken Renews Push for Humanitarian Pause During Mideast Tour; U.S. officials say headway is being made, but hostages remain central issue for Israel","antony blinken renew push humanitarian pause mideast tour u.s official say headway make hostage remain central issue israel","Wall_Street_News","Israel Conflict"
2023-11-01,"Nov 2023","Arab Citizens of Israel Say They Face Growing Backlash; The October attacks by Hamas militants left some in their own community dead, but Arabs in Israel say they are taking heat for the assault","arab citizen israel say face grow backlash october attack hamas militant leave community dead arab israel say take heat assault","Wall_Street_News","Israel Conflict"
2024-01-01,"Jan 2024","Arab Mediators Propose New Hostage-Release Plan to End Israel-Hamas War; Latest proposal comes as CIA chief visits Europe to advance talks","arab mediator propose new hostage-release plan end israel-hamas war late proposal come cia chief visit europe advance talk","Wall_Street_News","Israel Conflict"
2024-03-01,"Mar 2024","Aramean Christians Train to Fight for Israel; For decades, the country classified this community as Arab over its objections.","aramean christian train fight israel decade country classify community arab objection","Wall_Street_News","Israel Conflict"
2024-05-01,"May 2024","Army Officer Resigns in Protest of ‘Unqualified’ U.S. Support to Israel","army officer resign protest unqualified u.s support israel","The New York Times","Israel Conflict"
2024-03-01,"Mar 2024","Artists and Speakers Withdraw From SXSW Over U.S. Military’s Support of Israel","artist speaker withdraw sxsw u.s military’s support israel","The New York Times","Israel Conflict"
2023-11-01,"Nov 2023","As Congress Weighs Aid to Israel, Some Democrats Want Strings Attached","congress weigh aid israel democrat want string attach","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","As Gaza Death Toll Mounts, Israel’s Isolation Grows","gaza death toll mount israel’s isolation grow","The New York Times","Israel Conflict"
2024-03-01,"Mar 2024","As Hungry Gazans Crowd an Aid Convoy, a Crush of Bodies, Israeli Gunshots and a Deadly Toll","hungry gazans crowd aid convoy crush body israeli gunshot deadly toll","The New York Times","Israel Conflict"
2024-05-01,"May 2024","As Israel and Egypt Spar, Aid to Gaza Dries Up","israel egypt spar aid gaza dry","The New York Times","Israel Conflict"
2023-11-01,"Nov 2023","As Putin Girds for a Long War, Europe Seeks to Harden Sanctions on Russia; With sanctions so far failing to dent Moscow's attack on Ukraine, the EU is looking for new ways to erode the Russian economy","putin gird long war europe seek harden sanction russia sanction far fail dent moscow's attack ukraine eu look new way erode russian economy","Wall_Street_News","Ukraine Conflict"
2023-12-01,"Dec 2023","As Russia Gains Confidence, a New Urgency Grips Ukraine","russia gain confidence new urgency grip ukraine","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","As U.S. Aid Is Delayed, Ukraine's Hopes Dim For Stopping Russia","u.s aid delay ukraine's hope dim stop russia","Wall_Street_News","Ukraine Conflict"
2023-11-01,"Nov 2023","As U.S. Wavers on Ukraine Aid, Europe Steps Up; European powers are increasingly helping Kyiv hold the line against Russia as the war slips toward stalemate","u.s waver ukraine aid europe step european power increasingly help kyiv hold line russia war slip toward stalemate","Wall_Street_News","Ukraine Conflict"
2024-02-01,"Feb 2024","As U.S. Weighs Aid, Ukraine Turns to European Allies for Support","u.s weigh aid ukraine turn european ally support","The New York Times","Ukraine Conflict"
2024-05-01,"May 2024","As Ukraine Loses Ground, Baltic Countries Ask: Are We Next? Estonia's border city of Narva<U+2014>singled out by Putin as historically Russian land<U+2014>is among potential targets for destabilization","ukraine lose grind baltic country ask next estonia's border city narva 2014 single putin historically russian land 2014 among potential target destabilization","Wall_Street_News","Ukraine Conflict"
2024-01-01,"Jan 2024","As Ukraine Plows Through Artillery Shells, One Plan to Send More Fizzles; Failure of U.K.-Japan plan highlights challenges the West faces in boosting Kyiv's munitions supplies","ukraine plow artillery shell one plan send fizzle failure u.k japan plan highlight challenge west face boost kyiv's munition supply","Wall_Street_News","Ukraine Conflict"
2023-12-01,"Dec 2023","As World’s Gaze Shifts to Gaza, Israel’s Psyche Remains Defined by Oct. 7 Attack","world’s gaze shift gaza israel’s psyche remain define oct attack","The New York Times","Israel Conflict"
2023-12-01,"Dec 2023","As Zelensky Heads to Washington, Russia Targets Kyiv With Missiles","zelensky head washington russia target kyiv missile","The New York Times","Ukraine Conflict"
2023-11-01,"Nov 2023","At BRICS Summit, Countries Diverge Slightly on Israel and War in Gaza","brics summit country diverge slightly israel war gaza","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","At Columbia, Israel Backers Are Outside Looking In","columbia israel backer outside look","Wall_Street_News","Israel Conflict"
2024-06-01,"Jun 2024","At D-Day Ceremony, Biden Warns Against Isolationism; Western leaders marked the 80th anniversary of the landings amid anxiety over the Ukraine war and trans-Atlantic relations","d-day ceremony biden warn isolationism western leader mark 80th anniversary landing amid anxiety ukraine war trans-atlantic relation","Wall_Street_News","Ukraine Conflict"
2024-01-01,"Jan 2024","At Least 95 Dead in Blasts at Memorial for Iranian Commander Soleimani; People familiar with Israeli operations say Israel has told allies that it isn't involved with the explosions","less 95 dead blast memorial iranian commander soleimani people familiar israeli operation say israel tell ally involve explosion","Wall_Street_News","Israel Conflict"
2023-11-01,"Nov 2023","At the Center of the Israel-Hamas War, an Advancing Army Confronts a Humanitarian Crisis; Gaza's Al-Shifa Hospital was sheltering masses of Palestinians when an explosion hit","center israel-hamas war advance army confront humanitarian crisis gaza's al-shifa hospital shelter mass palestinian explosion hit","Wall_Street_News","Israel Conflict"
2024-04-01,"Apr 2024","Austin Pushes Back on Claims of Israel Carrying Out Genocide in Gaza","austin push back claim israel carry genocide gaza","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","Austin, Speaking by Video, Reiterates U.S. Support for Ukraine","austin speak video reiterate u.s support ukraine","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","Back-to-Back Israeli Strikes Show Tragic Gaps in Choosing Targets","back-to-back israeli strike show tragic gap choose target","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","Back From Ukraine, a House Republican Makes the Case for More Aid","back ukraine house republican make case aid","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","Backlash Against Israel Mounts After Deadly Strike on Aid Staff","backlash israel mount deadly strike aid staff","Wall_Street_News","Israel Conflict"
2023-11-01,"Nov 2023","Bari Weiss's Surging News Startup Lures Readers Miffed at Media Coverage of Israel; At the Free Press, the site launched by the former New York Times opinion editor, traffic and subscriptions have surged during Israel-Hamas war","bari weiss's surge news startup lure reader miffed medium coverage israel free press site launch former new york time opinion editor traffic subscription surge israel-hamas war","Wall_Street_News","Israel Conflict"
2024-01-01,"Jan 2024","Battered Congress Has Two Weeks to Fix Three Big Problems; Talks to stop a government shutdown, fix the border and fund Ukraine converge on Capitol Hill","batter congress two week fix three big problem talk stop government shutdown fix border fund ukraine converge capitol hill","Wall_Street_News","Ukraine Conflict"
2023-11-01,"Nov 2023","Before a Truce, Israeli Officials Debated Whether a Pause Would Help Hamas","truce israeli official debate whether pause help hamas","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","Behind the Mistakes of Israel's Military --- Deaths of aid workers reveal shortcomings of safety measures to protect civilians","behind mistake israel's military death aid worker reveal shortcoming safety measure protect civilian","Wall_Street_News","Israel Conflict"
2024-01-01,"Jan 2024","Benjamin Netanyahu at War; Israel's prime minister is determined to crush Hamas, diplomatic about the Biden administration, and optimistic about peace with Saudi Arabia.","benjamin netanyahu war israel's prime minister determine crush hamas diplomatic biden administration optimistic peace saudi arabia","Wall_Street_News","Israel Conflict"
2023-11-01,"Nov 2023","Bid to Extend Truce Complicates Israel's Goal to Wipe Out Enemy","bid extend truce complicate israel's goal wipe enemy","Wall_Street_News","Israel Conflict"
2024-03-01,"Mar 2024","Bid to Pause Israel-Hamas War Falters Before Ramadan Begins","bid pause israel-hamas war falter ramadan begin","Wall_Street_News","Israel Conflict"
2024-04-01,"Apr 2024","Biden's Approach to Gaza Conflict Angers Both Sides at Home; Airstrike that killed seven aid workers exacerbates tensions on the left while tougher rhetoric toward Israel risks alienating Jewish Americans","biden's approach gaza conflict anger side home airstrike kill seven aid worker exacerbate tension leave tough rhetoric toward israel risk alienate jewish american","Wall_Street_News","Israel Conflict"
2024-02-01,"Feb 2024","Biden's Biggest 2024 Challenge to Date: 'Uncommitted' in Michigan; Opponents of president's support for Israel's war in Gaza plan to register protest votes in Tuesday's primary. What will they do in N ovember?","biden's big 2024 challenge date uncommitted michigan opponent president's support israel's war gaza plan register protest vote tuesday's primary will ovember","Wall_Street_News","Israel Conflict"
2024-06-01,"Jun 2024","Biden's Cease-Fire Plan Seeks to Push Hamas and Israel Into a Deal Neither Wants; U.S. president is more interested in an agreement than the two warring parties","biden's cease-fire plan seek push hamas israel deal neither want u.s president interest agreement two war party","Wall_Street_News","Israel Conflict"
2023-12-01,"Dec 2023","Biden's Foreign-Policy Legacy Is Now Intertwined With Border Crisis at Home; President is eager to help Ukraine and figure out how to defuse an immigration issue hurting his re-election bid","biden's foreign-policy legacy now intertwine border crisis home president eager help ukraine figure defuse immigration issue hurt re-election bid","Wall_Street_News","Ukraine Conflict"
2024-03-01,"Mar 2024","Biden's Middle East Is a Fantasy World; He imagines Palestinians are eager for peace and Israel's government is at odds with its people.","biden's middle east fantasy world imagine palestinian eager peace israel's government odd people","Wall_Street_News","Israel Conflict"
2024-04-01,"Apr 2024","Biden's New Policy: Pin the Blame on Israel; Unwavering initial support for Israel's just war has deteriorated into unending criticism of its prosecution.","biden's new policy pin blame israel unwavering initial support israel's just war deteriorate unending criticism prosecution","Wall_Street_News","Israel Conflict"
2024-03-01,"Mar 2024","Biden's Relationship With Israel's Netanyahu Is in 'Serious Crisis'; Their nearly 50-year ties are nearing an open rupture, spurred by clashing political agendas and conflicting war aims in Gaza","biden's relationship israel's netanyahu serious crisis nearly 50-year tie near open rupture spur clash political agenda conflict war aim gaza","Wall_Street_News","Israel Conflict"
2024-02-01,"Feb 2024","Biden's Support From Progressives at Risk Over Border Bill and Israel; Some voters on the left feel betrayed by the president's Gaza stance and immigration compromise","biden's support progressive risk border bill israel voter leave feel betray president's gaza stance immigration compromise","Wall_Street_News","Israel Conflict"
2024-05-01,"May 2024","Biden's Weapons Threat Unnerves Israel --- Some are concerned a rupture with key ally could hinder its military readiness","biden's weapon threat unnerve israel concern rupture key ally hinder military readiness","Wall_Street_News","Israel Conflict"
2024-03-01,"Mar 2024","Biden-Ireland Split on Israel Casts Shadow Over St. Patrick's Day Meeting; Irish leader calls for permanent cease-fire in Gaza","biden-ireland split israel cast shadow st patrick's day meet irish leader call permanent cease-fire gaza","Wall_Street_News","Israel Conflict"
2024-01-01,"Jan 2024","Biden Accedes to Tougher Immigration Policy to Deflect Criticism, Secure Ukraine Aid; In his long career, Biden largely stayed out of immigration-reform fights. Now, he is in the middle of one.","biden accede tough immigration policy deflect criticism secure ukraine aid long career biden largely stay immigration-reform fight now middle one","Wall_Street_News","Ukraine Conflict"
2024-05-01,"May 2024","Biden Administration Advances $1 Billion Arms Sale to Israel","biden administration advance billion arm sale israel","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","Biden Administration Blames Congress for Fall of Ukrainian City","biden administration blame congress fall ukrainian city","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","Biden Administration Presses Congress on $18 Billion Sale of F-15 Jets to Israel","biden administration press congress 18 billion sale f-15 jet israel","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","Biden and German Leader Meet at White House and Push for Ukraine Aid","biden german leader meet white house push ukraine aid","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","Biden and Netanyahu speak as a senior official says the president’s anger with Israel has hit a peak.","biden netanyahu speak senior official say president’s anger israel hit peak","The New York Times","Israel Conflict"
2024-05-01,"May 2024","Biden Breaks a 2004 Promise to Israel; To facilitate withdrawal from Gaza, Bush pledged the U.S. would 'lead efforts' against terrorism.","biden break 2004 promise israel facilitate withdrawal gaza bush pledge u.s lead effort terrorism","Wall_Street_News","Israel Conflict"
2023-12-01,"Dec 2023","Biden Calls on Congress to Approve Aid to Ukraine: ‘This Cannot Wait’","biden call congress approve aid ukraine wait","The New York Times","Ukraine Conflict"
2024-02-01,"Feb 2024","Biden Caught in a Political Bind Over Israel Policy","biden catch political bind israel policy","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","Biden Contends With 'Burdens of Incumbency' as Trump Hedges on Big Issues; Former president has been free to criticize his successor without taking clear positions on Iran and Ukraine","biden contend burden incumbency trump hedge big issue former president free criticize successor without take clear position iran ukraine","Wall_Street_News","Ukraine Conflict"
2024-01-01,"Jan 2024","Biden Invites Congressional Leaders to White House to Discuss Aid to Ukraine","biden invite congressional leader white house discuss aid ukraine","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","Biden Is ‘Outraged.’ But Is He Willing to Use America’s Leverage With Israel?","biden outrage will use america’s leverage israel","The New York Times","Israel Conflict"
2023-12-01,"Dec 2023","Biden Is Trying to Rein In Israel. Is It Working?","biden try rein israel work","The New York Times","Israel Conflict"
2024-05-01,"May 2024","Biden Moves Forward on $1 Billion in New Arms for Israel; The administration notifies Congress of a large arms package after withholding shipment of bombs last week","biden move forward billion new arm israel administration notify congress large arm package withhold shipment bomb last week","Wall_Street_News","Israel Conflict"
2024-04-01,"Apr 2024","Biden says he is ‘outraged’ by the attack on an aid convoy, after Israel’s military says it was a mistake.","biden say outrage attack aid convoy israel’s military say mistake","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","Biden Says Israel Has Improved Aid Flow to Gaza but Must Do More","biden say israel improve aid flow gaza must","The New York Times","Israel Conflict"
2023-12-01,"Dec 2023","Biden Says Russia Is Celebrating U.S. Divisions Over Providing Aid to Ukraine","biden say russia celebrate u.s division provide aid ukraine","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","Biden Says Weapons Will Flow to Ukraine Within Hours as He Signs Aid Bill","biden say weapon will flow ukraine within hour sign aid bill","The New York Times","Ukraine Conflict"
2023-12-01,"Dec 2023","Biden Supports Israel. Does the Rest of America?","biden support israel rest america","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","Biden Threatens to Condition Israel Aid","biden threaten condition israel aid","The New York Times","Israel Conflict"
2024-02-01,"Feb 2024","Biden Threatens to Veto Bill That Would Help Israel but Not Ukraine","biden threaten veto bill help israel ukraine","The New York Times","Ukraine Conflict"
2023-12-01,"Dec 2023","Biden Tied Ukraine Aid to Border Security, and It Backfired on Him","biden tie ukraine aid border security backfire","The New York Times","Ukraine Conflict"
2024-04-01,"Apr 2024","Biden Ties Support For Israel To Civilian Protection --- President demands cease-fire in Gaza in call with Netanyahu after convoy attack","biden tie support israel civilian protection president demand cease-fire gaza call netanyahu convoy attack","Wall_Street_News","Israel Conflict"
2024-03-01,"Mar 2024","Biden Unites With an Unlikely Ally to Champion Ukraine","biden unite unlikely ally champion ukraine","The New York Times","Ukraine Conflict"
2023-12-01,"Dec 2023","Biden Warns Israel It Is ‘Losing Support’ Over War","biden warn israel lose support war","The New York Times","Israel Conflict"
2024-04-01,"Apr 2024","Biden Warns Xi on Aiding Russia's War in Ukraine; The call is the first between the U.S. and Chinese leaders since last year's summit","biden warn xi aid russia's war ukraine call first u.s chinese leader since last year's summit","Wall_Street_News","Ukraine Conflict"
2024-02-01,"Feb 2024","Biden Wins Michigan Democratic Primary, With 'Uncommitted' in Second Place; Victory comes as those angry with president's Israel policy lodge protest votes","biden win michigan democratic primary uncommitted place victory come angry president's israel policy lodge protest vote","Wall_Street_News","Israel Conflict"
2023-12-01,"Dec 2023","Biden, Democrats Offer Concessions in Border Talks, Move Toward Deal With GOP; Republicans have sought immigration-law changes in exchange for backing Ukraine aid","biden democrat offer concession border talk move toward deal gop republican seek immigration-law change exchange back ukraine aid","Wall_Street_News","Ukraine Conflict"
2024-05-01,"May 2024","Biden’s Real Mistake in Pausing Military Aid to Israel","biden’s real mistake pause military aid israel","The New York Times","Israel Conflict"
2023-11-01,"Nov 2023","Blinken's Surprise Visits Aim To Lower Tensions --- Top diplomat stops in West Bank, Iraq, seeking to contain Israel-Hamas war","blinken's surprise visit aim low tension top diplomat stop west bank iraq seek contain israel-hamas war","Wall_Street_News","Israel Conflict"
2024-03-01,"Mar 2024","Blinken Adds a Stop in Israel to His Mideast Trip","blinken add stop israel mideast trip","The New York Times","Israel Conflict"
2024-05-01,"May 2024","Blinken Arrives in Ukraine to Boost Spirits, Funnel U.S. Military Aid; A resurgent Russian military is pressing hard before Ukrainians can rearm","blinken arrive ukraine boost spirit funnel u.s military aid resurgent russian military press hard ukrainian can rearm","Wall_Street_News","Ukraine Conflict"
2024-04-01,"Apr 2024","Blinken Begins High-Stakes Middle East Trip Aimed at Gaza Cease-Fire; Washington hopes to delay an Israeli invasion of Rafah as protests rile U.S. campuses and Israel's isolation deepens","blinken begin high-stakes middle east trip aim gaza cease-fire washington hope delay israeli invasion rafah protest rile u.s campus israel's isolation deepen","Wall_Street_News","Israel Conflict"
2023-11-01,"Nov 2023","Blinken Heads to Israel to Push For Humanitarian Pauses in War","blinken head israel push humanitarian pause war","Wall_Street_News","Israel Conflict"
2024-01-01,"Jan 2024","Blinken Meets Arab Leaders on Shape of Post-War Gaza; U.S. secretary of state is also due to visit Israel","blinken meet arab leader shape post-war gaza u.s secretary state also due visit israel","Wall_Street_News","Israel Conflict"
2023-11-01,"Nov 2023","Blinken Meets Arab Ministers in Bid to Calm Outrage Over Gaza Airstrikes","blinken meet arab minister bid calm outrage gaza airstrike","The New York Times","Israel Conflict"
2024-05-01,"May 2024","Blinken Pushes for Gaza Cease-Fire Deal in Visit to Israel; Biden administration, rocked by campus protests, pursues agreement to stop the fighting","blinken push gaza cease-fire deal visit israel biden administration rock campus protest pursue agreement stop fight","Wall_Street_News","Israel Conflict"
2024-05-01,"May 2024","Blinken Says U.S. Has Not Ruled Out Withholding More Military Aid From Israel","blinken say u.s rule withhold military aid israel","The New York Times","Israel Conflict"
2024-05-01,"May 2024","Blinken Signals U.S. May Allow Ukraine to Strike Inside Russia With American Weapons; Secretary of state stopped short of endorsing change, but comments follow statements from European officials urging restrictions be lifted","blinken signal u.s may allow ukraine strike inside russia american weapon secretary state stop short endorse change comment follow statement european official urge restriction lift","Wall_Street_News","Ukraine Conflict"
2024-05-01,"May 2024","Blinken Tells Ukraine ‘You Are Not Alone’ as Russia’s Military Makes Gains","blinken tell ukraine alone russia’s military make gain","The New York Times","Ukraine Conflict"
2024-02-01,"Feb 2024","Blinken’s Mideast visit and U.S. aid to Israel are the focus in Washington this week.","blinken’s mideast visit u.s aid israel focus washington week","The New York Times","Israel Conflict"
2024-05-01,"May 2024","Bondholders to Push Ukraine to Resume Debt Payments After Hiatus; Firms including BlackRock, Pimco form committee, hire advisers to negotiate deal","bondholder push ukraine resume debt payment hiatus firm include blackrock pimco form committee hire adviser negotiate deal","Wall_Street_News","Ukraine Conflict"
