"abstract","web_url","lead_paragraph","source","pub_date","_id","document_type","headlines"
"The latest from the Israel-Hamas war. Weekday afternoons with Lulu Garcia-Navarro and Times journalists on the ground.","https://www.nytimes.com/2023/11/01/podcasts/biden-israel-aid-war.html","The battle over aid to Israel continues to heat up in Washington. While President Biden has proposed a $105 billion package that would distribute aid to Israel, Ukraine and other corners of the world, Mike Johnson, the newly-elected Republican House Speaker, has put forth a package that only addresses aid to Israel.","The New York Times","2023-11-01T21:19:05+0000","nyt://article/f2cdf3aa-2c99-598b-a11c-f61711c33e0e","article","The Battle Over Aid to Israel"
"Israel, Iran, Ukraine and Russia are driving so much about geopolitics today.","https://www.nytimes.com/2023/11/02/opinion/israel-gaza-hamas.html","Step back far enough, and you can see exactly what is driving so much geopolitics today: Ukraine is trying to join the West. Israel is trying to join a new Middle East. And Russia and Iran have teamed up to try to block both.","The New York Times","2023-11-02T04:01:23+0000","nyt://article/cda295bf-ca08-5228-9a42-5f940445f655","article","The Two Things Worrying U.S. Military Officials About Israel and Hamas"
"Hundreds of experienced fighters have joined Kyiv’s ranks to improve their financial fortunes, reflecting the recruitment struggles faced by both sides of the conflict.","https://www.nytimes.com/2023/11/02/world/americas/colombia-soldiers-ukraine-war.html","Manuel Barrios joined the battle against Russian forces in Ukraine because a bank threatened to repossess his home in Colombia. Luis Alejandro Herrera returned to the front to recover the savings he lost in a failed attempt to enter the United States through Mexico. Jhoan Cerón fought to provide for his toddler.","The New York Times","2023-11-02T04:01:27+0000","nyt://article/3683316b-b6a8-5f1d-be24-8ac827790fb1","article","Mercenaries or Volunteers? Economic Pain Pushes Colombian Veterans to Ukraine"
"Videos and photos of the conflict are competing with misappropriated depictions of unrelated tragedies, a cycle that experts say diminishes the experiences of victims past and present.","https://www.nytimes.com/2023/11/02/us/politics/israel-gaza-war-misinformation-videos.html","In a video circulating online meant to convey the horrors of the war between Israel and Hamas, a small boy wails, his face caked in dust. Clinging to the sandwich he was eating when an airstrike razed his family’s home, he sobs for his two teenage sisters lost amid the chaos, one of whom would later be confirmed dead.","The New York Times","2023-11-02T04:01:27+0000","nyt://article/4c045287-4a59-5233-989c-7c87f2cf7093","article","The Horrifying Images Are Real. But They’re Not From the Israel-Gaza War"
"Once a celebrated actress in Israel, Noa Tishby has emerged as a leading pro-Israel voice on U.S. TV, on social media and in print.","https://www.nytimes.com/2023/11/02/nyregion/noa-tishby-israel-antisemitism.html","On a stage in Los Angeles last week, two Israeli-born women sat before a rapt audience, discussing their grief and anger in the wake of the Oct. 7 attack on Israel by Hamas terrorists. More than 500 people had crowded into a synagogue auditorium to listen, and 400 more tuned in via Zoom.","The New York Times","2023-11-02T07:00:46+0000","nyt://article/cd918dd6-063e-504c-8102-780b920a7155","article","An ‘Israel Explainer’ Makes Her Country’s Case in America"
"Ms. Tlaib, the only Palestinian American in Congress, has been a leading critic of Israel, drawing condemnation from the country’s Democratic supporters.","https://www.nytimes.com/2023/11/02/us/politics/rashida-tlaib-israel-ads.html","A Democratic pro-Israel group on Thursday is beginning to air television ads that criticize Representative Rashida Tlaib of Michigan, in the first attempt to hit back on the airwaves at the growing caucus of Israel skeptics within the Democratic Party.","The New York Times","2023-11-02T08:00:08+0000","nyt://article/f5795670-0bf8-5f76-b4f6-544a58c56b82","article","Rashida Tlaib Draws Attack Ads From Pro-Israel Democratic Group"
"In a candid assessment, Gen. Valery Zaluzhny said no “beautiful breakthrough” was imminent and that breaking the deadlock could require advances in technological warfare.","https://www.nytimes.com/2023/11/02/world/europe/ukraine-zaluzhny-war.html","Ukraine’s top commander has acknowledged that his forces are locked in a “stalemate” with Russia along a front line that has barely shifted despite months of fierce fighting, and that no significant breakthrough was imminent. It is the most candid assessment so far by a leading Ukrainian official of the military’s stalled counteroffensive.","The New York Times","2023-11-02T13:07:48+0000","nyt://article/a7e5b7cc-d63e-57ea-9b5f-2862e18c7cd0","article","Ukraine’s Top Commander Says War Has Hit a ‘Stalemate’"
"Since the war between Israel and Hamas began, free speech in Israel has suffered.","https://www.nytimes.com/2023/11/02/opinion/israel-free-speech-hamas-palestine.html","On Oct. 25, Professor Nurit Peled-Elhanan, a lecturer at a college in Jerusalem, participated in a discussion in a faculty WhatsApp group about the horrific events of Oct. 7. In response to another lecturer’s message, she wrote that “the massacre,” referring to the actions of Hamas, reminded her of something the French philosopher and playwright Jean-Paul Sartre once wrote about race relations, adding a paraphrased quote: “‘After so many years that the neck of the occupied has been suffocating under your iron foot and suddenly was given a chance to raise his eyes, what kind of gaze did you expect you would see there?’ We saw this gaze,” Ms. Peled-Elhanan wrote to her colleagues.","The New York Times","2023-11-02T13:27:59+0000","nyt://article/7f0d905b-f82c-5106-94a8-6f3ab971e462","article","Israel Is Silencing Internal Critics"
"Brief cessations of military operations would allow food, water and other aid to reach Gaza and help with hostage releases, officials say.","https://www.nytimes.com/2023/11/02/us/politics/biden-israel-gaza-fighting-pause.html","Secretary of State Antony J. Blinken will urge the Israeli government to agree to a series of brief cessations of military operations in Gaza to allow for hostages to be released safely and for humanitarian aid to be distributed, White House officials said on Thursday.","The New York Times","2023-11-02T16:03:22+0000","nyt://article/99bb1776-9130-5060-95b9-bf654c972d39","article","U.S. to Press Israel for ‘Pauses’ in War With Hamas"
"Many in the region are watching Hassan Nasrallah’s speech for insights into whether Hezbollah will escalate its battle with Israel.","https://www.nytimes.com/2023/11/02/world/middleeast/hezbollah-hassan-nasrallah-israel-hamas.html","Hassan Nasrallah, the leader of the Lebanese militant group Hezbollah, will break his public silence on the war in Gaza on Friday in a televised speech that many in the region expect will provide insights into whether the group will escalate its battle with Israel.","The New York Times","2023-11-02T19:41:55+0000","nyt://article/5cf3d95c-494a-5d63-a5f7-66f2fdf4fcb7","article","Hezbollah’s Leader to Speak Publicly for 1st Time Since Hamas Attacked Israel"
"The Republican-led House approved $14.3 billion for Israel’s war with Hamas, tying the aid to spending cuts. The Senate plans to craft its own bill that will include aid for Ukraine and Gaza.","https://www.nytimes.com/2023/11/02/us/politics/house-aid-bill-israel.html","A divided House on Thursday passed a Republican-written bill that would tie $14.3 billion in military aid for Israel to domestic spending cuts and provide no money for Ukraine, defying President Biden and dooming its chances in the Senate.","The New York Times","2023-11-02T19:49:21+0000","nyt://article/aeda555b-6ef0-53fe-87fe-46a1aaea6ad2","article","House Passes Aid Bill for Israel but Not for Ukraine"
"A New York Times analysis of local Telegram channels showed posts falsely claiming Israeli refugees were incoming had been shared long before the antisemitic riot on Oct. 29.","https://www.nytimes.com/2023/11/02/world/europe/mob-riot-dagestan-airport-telegram.html","A false rumor about the resettlement of Israelis in Dagestan that incited a violent mob at its capital airport Sunday was shared online for longer and more widely than previously reported, according to a New York Times analysis of Telegram posts.","The New York Times","2023-11-02T19:57:39+0000","nyt://article/8c32ec82-d7d0-51d5-b64e-49be9edd1f45","article","Dagestan Mob Riot Targeting Plane From Israel Was Weeks in the Making"
"An Israeli military spokesman said that Israeli soldiers had surrounded Gaza’s largest city. White House officials said they would urge Israel to “pause” its bombardment on humanitarian grounds.","https://www.nytimes.com/2023/11/02/world/middleeast/israeli-troops-encircle-gaza-city.html","As the Israeli military announced that ground troops had encircled Gaza City on Thursday, criticism mounted of the death toll inflicted by Israeli airstrikes, with one United Nations agency suggesting the bombing campaign could be a war crime.","The New York Times","2023-11-02T20:49:45+0000","nyt://article/74fcbaf2-cfd6-5647-afdc-bcc2f5d3cc10","article","Israeli Troops Encircle Gaza City as Global Criticism of Strikes Mounts"
"Gazans under bombardment say there is a surge of severely injured children entering hospitals, doctors operating without anesthesia and morgues overflowing with bodies.","https://www.nytimes.com/2023/11/02/world/middleeast/voices-airstrikes-jabaliya-hospital.html","The Jabaliya neighborhood north of Gaza City was pummeled with Israeli airstrikes for a third consecutive day on Thursday, while doctors treating the victims described nightmarish scenes of operating without basic supplies or anesthesia.","The New York Times","2023-11-02T21:10:58+0000","nyt://article/b82efe1a-d6bd-5f34-8aef-1644d4f4b3c2","article","A Doctor in Gaza Describes ‘Horrific Scenes’ After Israeli Airstrikes"
"Also, Donald Trump’s eldest sons testify in a fraud trial. Here’s the latest at the end of Thursday.","https://www.nytimes.com/2023/11/02/briefing/us-israel-war-pauses-trump-sons-trial.html","When Secretary of State Antony Blinken arrives in Israel tomorrow, he plans to urge Prime Minister Benjamin Netanyahu to agree to a series of brief cessations of military operations in Gaza, White House officials said today.","The New York Times","2023-11-02T21:30:55+0000","nyt://article/fa5a1b9c-ffa5-54c1-83fc-2a73ad6908e8","article","The U.S. Will Press Israel for Pauses in the War"
"The Frick Pittsburgh cited fears that the show could become “a source of unintended insensitivity or offense.”","https://www.nytimes.com/2023/11/02/arts/design/islamic-exhibition-postponed-frick-pittsburgh.html","The Frick Pittsburgh postponed an exhibition featuring 10 centuries of Islamic art that was supposed to open on Saturday, citing the outbreak of the Israel-Hamas war and the fear that the show could become “a source of unintended insensitivity or offense.”","The New York Times","2023-11-02T22:15:32+0000","nyt://article/60eaee95-0bd0-5f33-8afa-122f046432a3","article","Islamic Art Exhibition Postponed in Pittsburgh Amid Israel-Hamas War"
"Holding national security hostage to help tax cheats.","https://www.nytimes.com/2023/11/02/opinion/columnists/israel-irs-national-security-hostages.html","Historians of propaganda are familiar with the concept of the Big Lie, a claim so extreme that many people end up accepting it because they can’t believe that authority figures would make up something so at odds with reality.","The New York Times","2023-11-02T23:00:08+0000","nyt://article/b87dbd80-bdec-5352-a9b5-2ce20c206551","article","Israel, the I.R.S. and the Big Grift"
"For many readers, the events of the past few weeks have raised profound and vexing questions that can illustrate the limits and strengths of international law.","https://www.nytimes.com/2023/11/02/world/middleeast/international-law-israel-hamas.html","It has been 26 days since Hamas launched its attacks on Israel. In my column a few days after the conflict began, I said that international law offered a framework for analyzing what was happening, even while the atrocities committed by Hamas were still being documented, and as the consequences of Israel’s devastating airstrikes on Gaza and cutoff of food, water and fuel were beginning to unfold.","The New York Times","2023-11-02T23:41:41+0000","nyt://article/bf24682c-0141-5ba1-b218-1a10ae5bc797","article","The Laws of War Have Limits. What Does That Mean for the Hamas-Israel War?"
"Even as the war’s devastation rages on, Ukrainians have found space to mourn an actor who brought them comfort and laughter.","https://www.nytimes.com/2023/11/03/world/europe/ukraine-matthew-perry.html","It was the middle of the night in Ukraine, and Natalia Sosnytska couldn’t sleep. So she opened the Instagram app on her phone — and saw that the actor Matthew Perry had died.","The New York Times","2023-11-03T04:01:24+0000","nyt://article/63a0c212-75d9-515f-a1d1-e16c19e2a860","article","Somewhat Guiltily, Ukrainians Miss Matthew Perry"
"The people of Gaza deserve to enjoy full civil rights, including the right to compensatory damages. Without those rights, what can we expect them to do with their pain?","https://www.nytimes.com/2023/11/03/opinion/unarmed-teen-israel-gaza.html","On the afternoon of his 15th birthday, Attiya Nabaheen was walking home from his school in Gaza when an Israeli soldier shot him in the neck. It was November 2014, and Mr. Nabaheen was on his family’s land, situated about 500 meters from the militarized Green Line demarcating the Gaza Strip. In court proceedings, a lawyer representing the Israeli government claimed that Mr. Nabaheen was too close to the fence and didn’t heed warning shots before he was hit. Neither his age nor the fact that he was unarmed stopped the soldier from firing at the boy. The injury left Mr. Nabaheen permanently paralyzed and wheelchair bound for the rest of his life. This all happened during a cease-fire, a time of supposed peace, or status quo, in Gaza.","The New York Times","2023-11-03T09:02:30+0000","nyt://article/1245e0b9-5242-5d05-acb7-cdb8747dee4d","article","An Unarmed Teen Was Shot During a Cease-Fire. Israel Was Never Held to Account."
"Fears are rising that the conflict could spread to the occupied West Bank, where tensions are soaring among Palestinians angered over deadly Israeli airstrikes in Gaza.","https://www.nytimes.com/2023/11/03/world/middleeast/israel-invasion-gaza-hamas.html","Nearly a week after Israeli tanks and troops poured into Gaza, Israeli military officials say they have made steady gains against Hamas. But the ground operation, which now encircles Gaza City, is entering an acutely perilous phase, with Israeli troops advancing in an urban landscape that is honeycombed with tunnels and home to many Palestinians.","The New York Times","2023-11-03T11:56:59+0000","nyt://article/c33535cd-3d2c-5118-8bab-26009b9f59e6","article","As Gaza War Enters New Phase, Israel Faces Pressure Over Civilian Deaths"
"All nations should realize that they could be the next target for terrorists.","https://www.nytimes.com/2023/11/03/opinion/isaac-herzog-israel-hamas-gaza.html","I write these lines from Jerusalem, after spending time with the families of some of the 240 people kidnapped by Hamas terrorists on Oct. 7. The hostages now held in Gaza include Jewish Israelis, Muslim Israelis and foreign citizens of different ethnicities.","The New York Times","2023-11-03T12:42:12+0000","nyt://article/eabdd7c8-5a86-50ae-8b38-8fc3f7f4d242","article","The President of Israel: This Is Not a Battle Just Between Israel and Hamas"
"Army officials and military analysts say it is part of a campaign to wear down and probe Ukrainian air defenses ahead of winter.","https://www.nytimes.com/2023/11/03/world/europe/russia-ukraine-drone-strikes.html","Russian forces targeted Ukraine overnight with their biggest drone attack in weeks, part of what Ukrainian officials and military analysts say appears to be a campaign to wear down and probe Ukrainian air defenses ahead of winter.","The New York Times","2023-11-03T13:48:07+0000","nyt://article/7c245b83-e75d-5068-bcbd-463084ae0349","article","Russia Sends Biggest Drone Barrage in Weeks, Ukrainian Officials Say"
"Isaac Herzog’s guest essay is a valuable look at how Israel’s leadership views the war.","https://www.nytimes.com/2023/11/03/opinion/isaac-herzog-nyt-guest-essay.html","Our goal in Opinion is to publish a wide range of ideas, arguments and commentary that help readers see an issue or a debate in a new light, challenge their assumptions and grapple with the hardest problems societies face.","The New York Times","2023-11-03T14:12:38+0000","nyt://article/371bac42-cb3c-5839-9d8b-975e3b876dcc","article","Opinion Today: Israel’s President on the Conflict With Hamas"
"A recent petition signed by nearly 900 food professionals calling for a cease-fire raises, once again, questions of contested cuisines.","https://www.nytimes.com/2023/11/03/dining/israel-hamas-war-divides-american-chefs.html","Theirs was an unlikely friendship.","The New York Times","2023-11-03T14:51:33+0000","nyt://article/5b4a642c-5934-5a01-a27f-549047f71a63","article","Among American Chefs, the Israel-Hamas War Has Spread to Food"
"The network’s unflinching support for Israel in its fight against Hamas has put the conservative network in the good graces of many Jews who see other coverage of Israel as biased.","https://www.nytimes.com/2023/11/03/business/media/fox-news-jews-israel.html","Ross Abramson, a software engineer and recent New York University graduate, had a fairly conventional news diet until recently. He regularly checked his phone for The New York Times and The Wall Street Journal. And as a Jew with an interest in Israel, he would browse a handful of outlets like The Times of Israel.","The New York Times","2023-11-03T16:36:03+0000","nyt://article/c5c46555-642a-513d-87c2-bdd2ebb6b819","article","Jewish Viewers Find a Refuge in Fox News"
"The Israeli military said it targeted an ambulance “being used by a Hamas terrorist cell.” At the time, Palestinians said, a convoy of ambulances was preparing to take wounded people to the Gaza border.","https://www.nytimes.com/2023/11/03/world/middleeast/al-shifa-hospital-gaza-explosion.html","An Israeli airstrike hit near the entrance of Al Shifa Hospital in Gaza City on Friday, killing multiple people, according to Gazan and Israeli officials, just as Palestinians said a convoy of ambulances was preparing to leave the hospital carrying wounded people to the Gaza border, to cross into Egypt for treatment.","The New York Times","2023-11-03T17:49:13+0000","nyt://article/01d71baa-0424-56ca-956c-5050ab2be485","article","Many are killed near a Gaza hospital, its chief says, in a strike the Israelis say was aimed at Hamas."
"Prime Minister Benjamin Netanyahu of Israel appeared to rebuff the Biden administration’s request, saying that any cease-fire would be contingent on the release of Israeli hostages taken by Hamas.","https://www.nytimes.com/2023/11/03/world/middleeast/israel-hamas-blinken-gaza.html","Secretary of State Antony J. Blinken, who traveled to Israel on Friday as the ground war against Hamas in Gaza escalated, urged protections for Palestinian noncombatants and “humanitarian pauses” in the fighting, even as he spoke of “solidarity” with Israel’s right to defend itself.","The New York Times","2023-11-03T21:00:14+0000","nyt://article/08716b48-6d26-5d5b-bd6b-eb95871a2fe4","article","Blinken Urges ‘Pauses’ in Fighting to Deliver Aid for Gaza Civilians"
"The writer, Jazmine Hughes, who has won awards for her work, had signed another letter of protest this year.","https://www.nytimes.com/2023/11/03/business/media/new-york-times-writer-resign-israel-gaza-war.html","Jazmine Hughes, an award-winning New York Times Magazine staff writer, resigned from the publication on Friday after she violated the newsroom’s policies by signing a letter that voiced support for Palestinians and protested Israel’s siege in Gaza.","The New York Times","2023-11-03T23:12:20+0000","nyt://article/bc101593-a1f5-5b34-b28a-133ec48aec0d","article","New York Times Writer Resigns After Signing Letter Protesting the Israel-Gaza War"
"Impact craters from the Oct. 31 strike on the densely packed Gaza neighborhood are approximately 40 feet wide. Israel said it was aiming at underground Hamas targets.","https://www.nytimes.com/2023/11/03/world/middleeast/israel-bomb-jabaliya.html","Israel used at least two 2,000-pound bombs during an airstrike on Tuesday on Jabaliya, a dense area just north of Gaza City, according to experts and an analysis conducted by The New York Times of satellite images, photos and videos.","The New York Times","2023-11-04T01:16:34+0000","nyt://article/c63fe739-39d1-5d78-b971-76834b06c1ec","article","Israel Used 2,000-Pound Bombs in Strike on Jabaliya, Analysis Shows"
"Quotation of the Day for Saturday, November 4, 2023.","https://www.nytimes.com/2023/11/04/pageoneplus/quotation-of-the-day-even-in-war-death-of-a-friends-star-is-painful-for-ukrainians.html","“We need to remember those dying here in Ukraine daily, but maybe also those who inspire us.”","The New York Times","2023-11-04T04:00:00+0000","nyt://article/118968cf-e96e-5e19-b053-cbb7ac407b0f","article","Quotation of the Day: Even in War, Death of a ‘Friends’ Star Is Painful for Ukrainians"
"Why both sides feel victimized by the campus debate over the war in Gaza.","https://www.nytimes.com/2023/11/04/opinion/sunday/israel-palestine-speech-debate.html","Last week, the Anti-Defamation League and the Louis D. Brandeis Center for Human Rights Under Law sent a letter to nearly 200 college presidents urging them to investigate campus chapters of Students for Justice in Palestine for potential violations of federal and state laws against providing material support to terrorism. As evidence for these very serious accusations, the ADL and the Brandeis center offered only the student group’s own strident rhetoric, including a sentence in its online tool kit, which praised Hamas’s attacks on Israel and said: “We must act as part of this movement. All of our efforts continue the work and resistance of the Palestinians on the ground.”","The New York Times","2023-11-04T11:00:53+0000","nyt://article/a78989ae-2d1f-5198-8915-be715b3e62dd","article","When It Comes to Israel, Who Decides What You Can and Can’t Say?"
"The presidential office said Gen. Valery Zaluzhny’s declaration that the war is at a stalemate was helpful to the Russians.","https://www.nytimes.com/2023/11/04/world/europe/zelensky-rebuke-general-zaluzhny.html","The office of President Volodymyr Zelensky on Saturday chastised Ukraine’s top military commander for publicly declaring the war at a stalemate, suggesting the comments would help the Russian invasion. It was a striking public rebuke that signaled an emerging rift between the military and civilian leadership at an already challenging time for Ukraine.","The New York Times","2023-11-04T16:59:14+0000","nyt://article/dd3e92df-12e0-5a08-9509-94ec4933098c","article","Zelensky Rebuke of Top General Signals Rift in Ukrainian Leadership"
"The measures include using smaller bombs against Hamas, U.S. officials said.","https://www.nytimes.com/2023/11/04/us/politics/israel-gaza-deaths-bombs.html","U.S. officials said they have privately outlined several steps to Israel to reduce civilian casualties in its military campaign in the Gaza Strip, including using smaller bombs, when going after Hamas leaders and infrastructure.","The New York Times","2023-11-04T20:46:49+0000","nyt://article/4a7a2112-d58c-5203-ac6a-dc9904f60b4c","article","U.S. Officials Outline Steps to Israel to Reduce Civilian Casualties"
"A missile attack on an ambulance convoy has drawn severe criticism, including from the U.N., but Israel says it was transporting Hamas fighters.","https://www.nytimes.com/2023/11/04/world/middleeast/blinken-arab-ministers-gaza-airstrikes.html","Anxious Arab leaders appealed publicly and privately on Saturday to Secretary of State Antony J. Blinken to rein in Israel’s military campaign in the Gaza Strip, increasing pressure on the Biden administration as it struggles to persuade Israel to reduce civilian casualties and allow in more humanitarian aid.","The New York Times","2023-11-04T23:00:18+0000","nyt://article/dd39e119-837c-5761-ae3b-035eed0927fa","article","Blinken Meets Arab Ministers in Bid to Calm Outrage Over Gaza Airstrikes"
"The former president said everyone was “complicit to some degree” in the current bloodshed and acknowledged the points of view on both sides of the conflict.","https://www.nytimes.com/2023/11/04/us/politics/obama-israel-palestine.html","Barack Obama offered a complex analysis of the conflict between Israel and Gaza, telling thousands of former aides that they were all “complicit to some degree” in the current bloodshed.","The New York Times","2023-11-04T23:45:41+0000","nyt://article/1c8c68d4-fb6b-587a-878f-fd121be2d392","article","Obama Urges Americans to Take in ‘Whole Truth’ of Israel-Gaza War"
"Pessimism over prospects for a quick victory is increasing, and the spirit that infused the first days of the conflict is starting to fade, polls find.","https://www.nytimes.com/2023/11/05/world/europe/ukraine-war-morale.html","Listening to the daily thud of artillery hitting nearby towns, a school principal in southern Ukraine appealed to parents for donations for a new bomb shelter.","The New York Times","2023-11-05T04:01:18+0000","nyt://article/9d23cb7b-12fd-51c5-83ef-991d7818ee34","article","‘I Am Dreaming It Will Stop’: A Deadlocked War Tests Ukrainian Morale"
"The Israeli government has not publicly called for large numbers of Gazans to move to Egypt. But in private, diplomats say, it has pushed for just that — augmenting Palestinian fears of a permanent expulsion.","https://www.nytimes.com/2023/11/05/world/middleeast/israel-egypt-gaza.html","Israel has quietly tried to build international support in recent weeks for the transfer of several hundred thousand civilians from Gaza to Egypt for the duration of its war in the territory, according to six senior foreign diplomats.","The New York Times","2023-11-05T13:25:09+0000","nyt://article/3d960d33-c53e-50fd-8b24-dba742519e85","article","Israel Quietly Pushed for Egypt to Admit Large Numbers of Gazans"
"The prime minister’s swift move appeared to reflect his concerns with his waning popularity among voters, and with international criticism of Israel’s attacks on Gaza.","https://www.nytimes.com/2023/11/05/world/middleeast/amichay-eliyahu-israel-minister-nuclear-bomb-gaza.html","Prime Minister Benjamin Netanyahu of Israel took the highly unusual step on Sunday of suspending a far-right minister from his government, after the minister said that dropping a nuclear bomb on Gaza and killing everyone there was “one way” of dealing with the threat from Hamas.","The New York Times","2023-11-05T13:25:25+0000","nyt://article/1403c09d-7d12-5b3e-a3c3-2aa1be5f7fad","article","Netanyahu Suspends Israeli Minister Who Said Dropping a Nuclear Bomb on Gaza Was an Option"
